location_id,location_name,region,state,reporting_year,reporting_quarter,gross_area_sqft,electricity_kwh,electricity_source,natural_gas_therms,gas_source,vehicle_count,vehicle_miles,vehicle_avg_mpg,refrigerant_lbs,refrigerant_type,purchased_goods_spend,capital_goods_spend,business_travel_spend,employee_commuting_miles,waste_tons,spend_source
HOU-001,Houston Office 1,South,TX,2024,Q4,12500,98200,measured,1840,measured,3,34200,28,0,,480000,35000,62000,185000,12.4,measured
HOU-002,Houston Office 2,South,TX,2024,Q4,8400,67500,measured,1120,measured,0,0,0,0,,320000,18000,41000,124000,8.1,measured
ATL-001,Atlanta Office 1,South,GA,2024,Q4,15200,121000,measured,2050,measured,4,41500,26,2.5,R-410A,560000,42000,78000,228000,15.8,measured
MIA-001,Miami Office,South,FL,2024,Q4,9800,89200,estimated,680,estimated,2,22000,30,0,,380000,22000,55000,148000,9.2,estimated
LAX-001,Los Angeles Office 1,West,CA,2024,Q4,18500,142000,measured,1650,measured,5,58000,27,0,,720000,55000,95000,278000,19.5,measured
LAX-002,Los Angeles Office 2,West,CA,2024,Q4,7200,55800,estimated,980,estimated,0,0,0,0,,280000,15000,32000,108000,6.8,estimated
SEA-001,Seattle Office,West,WA,2024,Q4,11000,78500,measured,1480,measured,2,18500,32,0,,420000,28000,48000,165000,10.5,measured
DEN-001,Denver Office,West,CO,2024,Q4,13400,108000,measured,2200,measured,3,29000,28,0,,510000,38000,68000,201000,13.2,measured
PHX-001,Phoenix Office,West,AZ,2024,Q4,10800,94500,measured,1200,measured,2,15000,25,0,,410000,25000,52000,162000,10.1,measured
CHI-001,Chicago Office 1,Midwest,IL,2024,Q4,15400,118500,measured,2850,measured,4,38200,24,1.8,R-134a,580000,44000,82000,231000,16.2,measured
CHI-002,Chicago Office 2,Midwest,IL,2024,Q4,6800,52100,estimated,850,estimated,0,0,0,0,,260000,12000,28000,102000,6.4,estimated
DET-001,Detroit Office,Midwest,MI,2024,Q4,10200,82400,measured,1680,measured,3,28500,22,0,,390000,28000,51000,153000,9.8,measured
COL-001,Columbus Office,Midwest,OH,2024,Q4,8900,71200,measured,1420,measured,0,0,0,0,,340000,20000,42000,134000,8.5,measured
NYC-001,New York Office 1,Northeast,NY,2024,Q4,22000,168000,measured,2400,measured,0,0,0,0,,880000,68000,115000,330000,23.1,measured
BOS-001,Boston Office,Northeast,MA,2024,Q4,11500,87600,measured,1950,measured,2,21000,29,0,,440000,32000,58000,173000,11.2,measured
PHL-001,Philadelphia Office,Northeast,PA,2024,Q4,9600,74800,measured,1580,measured,0,0,0,0,,360000,22000,45000,144000,9.1,measured
MUM-001,Mumbai Office,India,MH,2024,Q4,6500,58200,measured,0,estimated,0,0,0,0,,185000,12000,22000,98000,5.2,estimated
BLR-001,Bangalore Office,India,KA,2024,Q4,5800,48900,measured,0,estimated,0,0,0,0,,165000,10000,18000,87000,4.6,estimated
DAL-001,Dallas Office,South,TX,2024,Q4,14200,112500,measured,1920,measured,3,32000,27,0,,540000,40000,72000,213000,14.5,measured
DEN-002,Denver Office 2,West,CO,2024,Q4,9200,72000,measured,1350,measured,2,18000,30,0,,350000,22000,45000,138000,8.8,measured
